Time,Event,Speaker(s),Location,Other Details
11:10am - 12:00pm,Revolutionizing the Insurance Customer Experience with Agentic AI Presented by Salesforce,Speaker | Mark GarrettDirector of Insurance Industry Analytics - J.D. Power | Peter SettelCEO & President - Bold Penguin,"Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition TrackShow more",Session Sponsor | Salesforce
11:10am - 12:00pm,Session Presented by Deloitte,,,"Distribution, Sales & Marketing Stage (Expo Floor)Distribution Track | Session Sponsor | Deloitte"
11:20am - 11:30am,Demo: Vexcel Aerial Imagery & AI Property Insights,Speaker | Vexcel Data Program,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Ryan BankGlobal Managing Director - Vexcel Data Program | Session Sponsor
11:25am - 11:45am,Analytics in Claims: Leveraging Data and AI to Transform Your Claims Process Presented by WTW IC&T,Speaker | Kiran MallavarapuSVP Claims Strategy - The Hanover Insurance Group | WTW IC&T,Mandalay Bay Ballroom HData & Analytics TrackShow more,Alena KharkavetsAmericas Claims Leader - WTW IC&T | Session Sponsor | AI Recommended
11:35am - 12:05pm,From Claims to Care: Transforming the Role of Life Insurance in the Workplace,Speaker | Ron GuraCEO & Co-Founder - Empathy | Jay KadusonCEO of Workplace Solutions - Voya Financial,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & BenefitsShow more"
11:35am - 11:45am,How AI Governance Has Become a Key Differentiator and Strategic Enabler for Insurance Carriers and Vendors Presented by Monitaur,Speaker | Anthony HabayebCEO and Co-founder - Monitaur,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Monitaur
11:35am - 11:55am,Session Presented by Solvd,,Mandalay Bay Ballroom IClaims Track,Session Sponsor | Solvd
11:50am - 12:10pm,"Building Smarter, Moving Faster: The ManyPets Approach to Data and AI",Speaker | Luisa BarileGroup CEO - ManyPets | Pierre Du ToitChief Data Officer - ManyPets,Mandalay Bay Ballroom HData & Analytics Track,
11:50am - 12:00pm,Demo: GitLab,Speaker | George KichukovField CTO for FSI - GitLab,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | GitLab
11:50am - 12:15pm,"Two Worlds, One Vision: How Life and P&C Giants Are Redefining Insurance Through Modern Architecture",Speaker | Bob BastianChief Information & Technology Officer - Prudential Financial | Tony SkipperCEO - Allianz Technology,Mandalay Bay Ballroom LInnovation in Action TrackShow more,
12:00pm - 12:20pm,"Back-End, Front Impact: Modernizing the Infrastructure Behind Claims Presented by Vitesse",Speaker | CJ PrzybylCEO & Co-Founder - Reserv | Curt HessU.S. Executive President - Vitesse,Mandalay Bay Ballroom IClaims Track,Session Sponsor | Vitesse
12:00pm - 1:30pm,Lunch Sponsored by isolved,Expo FloorEvent Information,,Session Sponsor | isolved
12:10pm - 12:30pm,Beyond the Hype: Real-World Blockchain Applications Transforming Insurance,Speaker | Karn SaroyaCEO & Co-Founder - Re | David VerbeetenCCO & Co-Founder - OnRe,Mandalay Bay Ballroom LInnovation in Action TrackShow more,
12:30pm - 2:00pm,AI Unleashed: Tech Titans Talk How Agentic AI Is Revolutionizing Insurance Presented by DXC,"Speaker | Alessandra CoxProduct Leader, Life & Annuity - DXC Technology | DXC Technology",Lagoon Ballroom CDIJLunch SeminarShow more,"Chad HershHead of Worldwide Market Development, Life Insurance Industry - AWS | Session Sponsor"
12:30pm - 2:00pm,Beyond the Hype: Realizing Value with Agentic AI in Insurance Presented by Quantiphi,"Quantiphi, Inc.",Breakers Ballroom CDLunch Seminar,Session Sponsor
12:30pm - 1:30pm,Black Leadership Meet-Up Sponsored by Northwestern Mutual Accelerator Powered by gener8tor,Speaker | Ryan SmithExecutive Vice President - Atlanta Life Insurance Company,ITC Community Center (Expo Floor)ITC Community Meet-Ups,Session Sponsor | gener8tor
12:30pm - 2:00pm,"Making AI Work in Insurance: Practical Impact, Lessons Learned from IBM’s $3B in AI Savings Presented by IBM","Speaker | Kristina WelkeVP & Head of Strategy, Solutions and Marketing for New York Life Group Benefit Solutions - New York Life | Abhi BakreVice President - IBM Corporation | IBM Corporation",Mandalay Bay Ballroom DLunch SeminarShow more,Session Sponsor
12:30pm - 2:00pm,Smarter. Faster. Connected: Unlocking the Power of End-to-End Pricing Presented by Akur8,Speaker | Samuel FalmagneCEO - Akur8 | Thomas HolmesChief Actuary US - Akur8,Reef Ballroom BCEFLunch SeminarShow more,Session Sponsor | Akur8
1:00pm - 2:00pm,Distribution Town Square Takeover: Reboot Embedded- Recharge Your Payments Process with AndDone & IPFS,Speaker | Gary KorteVP - Integrations and CRM - IPFS | Chase CourtneyVP - Technology Sales - AndDone | Imperial PFS,,"Distribution, Sales, Marketing Town Square (Expo Floor)ITC Community Meet-UpsShow more | Session Sponsor"
1:00pm - 2:00pm,LATAM Town Square Takeover: AIP Breaking News,,,ITC LATAM Town Square (Expo Floor)ITC Community Meet-Ups
2:00pm - 2:10pm,"Be Honest, Are You Really Ready for AI? Presented by EOX Vantage",Speaker | Travis RoeSr. Director of Product - EOX Vantage | EOX Vantage,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
2:00pm - 2:20pm,Deploying Analytics at Scale Presented by WTW IC&T,"Speaker | Pierre-Olivier VincentVP, Ratemaking and Business Solutions - Desjardins | WTW IC&T",Mandalay Bay Ballroom LInnovation in Action TrackShow more,Farah IsmailAmericas Commercial Lines Leader - WTW IC&T | Session Sponsor
2:00pm - 2:20pm,Disrupt or Be Disrupted: Unleash AI to Transform Customer Experience in Insurance with ServiceNow,Speaker | Max MalloyVP of Digital Experience & Strategy - ProAssurance | Nigel WalshHead of Insurance Go-to-Market - ServiceNow,"Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition Track",Session Sponsor | ServiceNow
2:00pm - 2:20pm,"Insurance, Rebuilt: How Distribution Strategy Drives Product Innovation Presented by Tint",Speaker | Matheus RiolfiCEO & Co-Founder - Tint | Eric HoelzenHead of Insurance - Turo,,"Distribution, Sales & Marketing Stage (Expo Floor)Distribution Track | Session Sponsor | Tint"
2:00pm - 2:30pm,LATAM Town Square Takeover: Brazil Meetup,Speaker | José PradoCEO - Insurtech Brasil,,ITC LATAM Town Square (Expo Floor)ITC Community Meet-Ups
2:00pm - 2:20pm,"NatCat Property's New Rules for 2026: Operations-First AI, Real Results Presented by ResiQuant",Speaker | Rudy HervéChief Operating Officer - Palomar | Omar IssaCEO - ResiQuant,Mandalay Bay Ballroom JSpecialty & Commercial Insurance Track,Session Sponsor | ResiQuant
2:00pm - 2:35pm,"The Future of Producer Licensing: Innovation, Uniformity, and What's Next with NIPR and RegEd","Speaker | Eric SaulChief Product and Technology Officer - NIPR | RegEd, Inc.",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Session Sponsor"
2:00pm - 2:15pm,Why Deep Expertise Matters More Than Ever in Claims Innovation,Speaker | Grace HansonCEO - Elysian,Mandalay Bay Ballroom IClaims Track,
2:00pm - 2:35pm,Why Insurance CX Fails Presented by Reltio,Speaker | Guy VorsterPrincipal Solution Consultant - Reltio,Mandalay Bay Ballroom HData & Analytics Track,Session Sponsor | RELTIO
2:15pm - 2:25pm,Convr AI Delivers New Underwriting Workbench Efficiencies with Agentic AI,Speaker | John StammenCEO - Convr,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Harish NeelamanaCo-Founder and President - Convr | Session Sponsor | Convr
2:25pm - 3:00pm,Agentic AI Infusion to Enhance Experiences for Employee and Customer Presented by Hexaware,"Speaker | Colleen ThomasVP, Business Relationship Management & Innovation - CNA Insurance | Maren DennisClaims Transformation Product Manager - Markel | Hexaware Technologies In...","Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition TrackShow more",Session Sponsor
2:25pm - 3:00pm,Breaking Through the Insurtech Barriers: How Partnerships Transform Management of Commercial Risks,Speaker | Dan PrestonCEO and Co-Founder - Stand Insurance,Mandalay Bay Ballroom JSpecialty & Commercial Insurance TrackShow more,"Katarina ScamborovaPresident, Harmony Re; Co-Strategic Leader, Concert Group - Concert Group"
2:25pm - 3:00pm,More Than Insurance: How Hagerty Built a Passion-Powered Automotive Ecosystem Presented by Duck Creek,Speaker | Russell PageChief Data & Information Officer - Hagerty | Larry WebsterSVP of Media and Editorial - Hagerty | Duck Creek Technologies,Mandalay Bay Ballroom LInnovation in Action TrackShow more,Session Sponsor
2:25pm - 2:45pm,Piece of Mind in Your Pocket: The End-To-End Digital Insurance Broker Taking Over Europe,Speaker | Carsten MiddendorfChief Investment Officer - Allianz X | Benedikt KalteierCEO - CLARK,,"Distribution, Sales & Marketing Stage (Expo Floor)Distribution Track"
2:30pm - 2:40pm,Demo: SpatialKey,Speaker | Sylvester MathisChief Insurance & Chief Revenue Officer - Insurity,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Insurity
2:35pm - 2:55pm,Wellness Unlocks a Whole World of Opportunity,"Speaker | Dave RengacharySVP, Head of Underwriting, U.S. Individual Life - RGA",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Corin ChapmanDirector of Innovation for Life/Health/Investment Planning Services - State Farm"
2:40pm - 3:00pm,Session Presented by Tiger Analytics,Tiger Analytics,Mandalay Bay Ballroom HData & Analytics Track,Session Sponsor
2:45pm - 3:20pm,Boosting Claims Efficiency & Effectiveness through Intelligent Automation Presented by ValueMomentum,,Mandalay Bay Ballroom IClaims Track,Session Sponsor | ValueMomentum
2:45pm - 2:55pm,Demo: Higson 4.2,Speaker | Marcin NowakFounder - Decerto,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | DECERTO
3:00pm - 3:10pm,Demo Presented by Spear Technologies,Spear Technologies,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
3:00pm - 3:20pm,From Claims to Code: AI Agents Transforming Insurance Operations Presented by AWS,,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Session Sponsor | Amazon Web Services (AWS)"
3:00pm - 4:00pm,LATAM Town Square Takeover: How to Support Underserved Populations in Latin America Through Parametric Insurance,Speaker | María Navarro Ibáñez de...Corporate Director of Innovation - MAPFRE,,ITC LATAM Town Square (Expo Floor)ITC Community Meet-Ups | Hugues BertinCEO and President - Digital Insurance LATAM and AIP
3:00pm - 5:00pm,Women's Leadership Forum Sponsored by Roots Automation,Speaker | Robin SpauldingHead of Insurance - Roots,ITC Community Center (Expo Floor)ITC Community Meet-Ups,Session Sponsor | Roots | Added to schedule
3:05pm - 3:25pm,From Manual to AI-Driven: Rethinking Insurance Operations Through Intelligent Orchestration Presented by Flowable,Speaker | Agim EmruliCEO - Flowable,Mandalay Bay Ballroom LInnovation in Action Track,Session Sponsor | Flowable
3:05pm - 3:25pm,How AI Helped Us Modernize a Legacy Professional Liability Core Without Breaking the Business Presented by Praxent,Speaker | Kevin HurwitzManaging Partner - Praxent,Mandalay Bay Ballroom JSpecialty & Commercial Insurance Track,Session Sponsor | Praxent
3:05pm - 3:25pm,Reimagining Insurance with Disney+ in Brazil: The Future of Embedded Experiences,Speaker | Eduardo ViegasCOO - Kovr Seguradora | Gustavo SorotskiVP - In-Home Distribution & Partnerships - Disney+,"Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition Track",
3:05pm - 3:25pm,Stop Procrastinating and Complete Your Enterprise Data Transformation Within 1 Year!,Speaker | Bruce F Broussard JrManaging Director - Percipience | Prashant HingeChief Information & Transformation Officer - MSIG USA,Mandalay Bay Ballroom HData & Analytics Track,
3:15pm - 3:25pm,Demo Presented by Whatfix,,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Whatfix
3:15pm - 3:50pm,"Embedded Insurance 2.0: How Insurers Are Cracking the Code on Seamless, High-Conversion Partnerships",Speaker | David EmbryCEO - Mylo | Rajat SharmaChief Revenue Officer - InsureMO,,"Distribution, Sales & Marketing Stage (Expo Floor)Distribution TrackShow more | AI Recommended"
3:25pm - 3:45pm,"Life Insurance Isn’t Bought, It’s Sold: Simplifying Access for the Middle Market in the AI Era Presented by Neutrinos","Speaker | Cristiane ChiacchioCEO, Simplified Solutions - Prudential Financial",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Ramya BabuCo-founder & President, North America - Neutrinos | Session Sponsor | Neutrinos"
3:25pm - 3:45pm,Personal Property: The Overlooked Lever for Loss Ratio and Retention,"Speaker | Michelle RaueEVP, Chief Claim & Transformation Officer - Preferred Mutual",Mandalay Bay Ballroom IClaims TrackShow more,Gwen OlsenAVP - Claims Strategy - American Family Insurance
3:30pm - 3:40pm,Demo Presented by Form.io,Speaker | Gary WetzelCEO & Co-founder - Form.io,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Form.io
3:30pm - 4:05pm,Inside the Innovation Engine: How Insurers Turn Data and Collaboration with Startups into Impactful Innovation Strategies,Speaker | Ron GonenManaging Director - Allianz Life Ventures,Mandalay Bay Ballroom LInnovation in Action TrackShow more,Barbara WagnerHead of Strategy - Zurich North America
3:30pm - 4:05pm,"Real-Time Data, Real-Time Decisions: The End of Traditional Risk Assessment?",Speaker | Nigel WalshHead of Insurance Go-to-Market - ServiceNow,Mandalay Bay Ballroom HData & Analytics TrackShow more,"Magda RamadaGlobal InsurTech Innovation Leader, WTW, ICT - WTW"
3:30pm - 3:50pm,Scaling Specialty Property MGAs: From Niche to Nationwide Growth,Speaker | Virginia MathurinMD - Property Underwriting - Markel | Adarsh RachmaleCEO - CoverTree,Mandalay Bay Ballroom JSpecialty & Commercial Insurance Track,
3:30pm - 3:45pm,The Customer Report Card: What's Working and What's Broken in Today's Market,Speaker | Ashish SrivastavaCOO - Insurance & Risk Management - Blackstone Real Estate,"Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition Track",
3:30pm - 4:45pm,YASSI Whiskey Tasting,,,Booth 2542 (Expo Floor)Culinary Experiences | Session Sponsor | YASSI
3:45pm - 3:55pm,Demo: Hyland,"Speaker | Rohan VaidyanathanVP, Product - Hyland",,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Hyland
3:45pm - 4:45pm,Latin America Meet & Greet Happy Hour Sponsored by Prudential,Prudential Financial,,ITC LATAM Town Square (Expo Floor)Culinary Experiences | Session Sponsor
3:50pm - 4:25pm,"Instant Payouts, Smarter Decisions, and the Future of Claims Innovation",Speaker | Bill BrowerSVP of Global Industry Relations and Claims Solutions - Solera | Grant BeckHead of Innovation & Optimisation - KBA Group,Mandalay Bay Ballroom IClaims TrackShow more,
3:50pm - 4:05pm,Reimagining Long-Term Financial Planning with Bitcoin & Life Insurance: The Product and Partnership Opportunity,Speaker | Zac TownsendCEO & Co-Founder - Meanwhile,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits"
3:50pm - 4:10pm,Winning the Moments That Matter: A New Formula for Retention Presented by Stripe,,"Mandalay Bay Ballroom KCustomer Experience, Retention & Acquisition Track",Session Sponsor | Stripe
3:55pm - 4:10pm,Captives Unlocked: A Strategic Advantage for MGAs and Brokers,Speaker,,"Distribution, Sales & Marketing Stage (Expo Floor)Distribution Track | Sam EspinosaCMO & Co-Founder - Luzern Risk"
3:55pm - 4:15pm,From 0 to Series C: Disrupting E+S with Speed and Scale,Speaker | Gage CaligarisFounder and CEO - Ledgebrook,Mandalay Bay Ballroom JSpecialty & Commercial Insurance TrackShow more,Mike MansellVenture Capital Principal - American Family Ventures
4:00pm - 4:10pm,Demo Presented by Level AI,,Level AI,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
4:00pm - 5:15pm,Matterport Bourbon Tasting,,,Booth 2258 (Expo Floor)Culinary Experiences | Session Sponsor | Matterport
4:15pm - 5:30pm,Expo Floor Happy Hour,Expo FloorEvent Information,,
4:15pm - 4:35pm,How Agentic AI is Transforming Insurance: Navigating Hype and Reality with a Frontier Firm Mindset Presented by Microsoft,"Speaker | Tracie LarsonVP, US Insurance - Microsoft Corporation | Microsoft Corporation",,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
4:15pm - 5:15pm,"Life, Health & Benefits Town Square Takeover: Meeting a New Era of Customer Demands Presented by Majesco",,,"ITC Life, Health & Benefits Town Square (Expo Floor)ITC Community Meet-Ups | Session Sponsor | Majesco"
4:15pm - 5:30pm,Margaritas and Microsoft,Microsoft Corporation,,Innovation Alley (Expo Floor)Culinary Experiences | Session Sponsor
4:15pm - 5:30pm,Vitesse Wine Tasting,,,Booth 1219 (Expo Floor)Culinary Experiences | Session Sponsor | Vitesse
7:00am - 5:00pm,Badge Pickup Hours,,Mandalay Bay Foyer | Level 2Event Information,AI Recommended
7:00am - 8:30am,Breakfast Sponsored by Jackson,,Shoreline | Level 2Event Information,Session Sponsor | Jackson | AI Recommended
8:30am - 10:00am,Thursday Keynotes On the Main Stage,Speaker | Richard McCathronCEO & President - Hippo | Kyle NakatsujiCEO and Co-founder - Clearcover,Oceanside Ballroom CDMain StageShow more,
9:00am - 5:00pm,Expo Floor Open,,Mandalay Bay Convention CenterEvent Information,
10:00am - 10:10am,Demo: ATLS,Speaker | Alex PanaitChief Strategy Officer - Lazarus AI | Lazarus AI,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
10:15am - 10:25am,Demo: Emailgistics,Speaker | Henry LachCEO - Emailgistics,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | Emailgistics
10:30am - 10:40am,Cyber Insurance Summit Opening Remarks,Speaker,Mandalay Bay Ballroom JCyber Insurance Summit,"Amit AroraVP, Product at RGA & Adjunct Associate Professor, Applied Risk Analytics - Columbia University"
10:30am - 10:40am,Demo Presented by Mulberri,Mulberri Insurance Servi...,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
10:30am - 11:05am,Insuring Innovation: Profitable Growth Strategies for Emerging Risks Presented by Milliman,Speaker | Angela GrantChief Legal Officer - Palomar | Alex TsetsenekosHead of Insurance - Luminar Technologies,Mandalay Bay Ballroom LInnovation in Action TrackShow more,Session Sponsor | Milliman | AI Recommended
10:30am - 10:50am,Mind the Gap: Why Benefits Are the New Business Risk,Speaker | Michael EstepPresident - Group Insurance - Prudential Financial,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits"
10:30am - 11:05am,Precision in Motion: Using Driving Behavior Data to Refine Territorial Pricing Presented by Arity,"Speaker | Henry KowalDirector, Outbound Product Management - Insurance Solutions - Arity","Mandalay Bay Ballroom IProperty, Motor & Travel Track",Session Sponsor | Arity
10:30am - 11:05am,Scaling Smarter: Modern Marketing Strategies Driving Growth in Insurance,Speaker | Brad StoubVP - Head of Sales & Marketing - Openly | Dinh LaiCMO - bolt,,"Distribution, Sales & Marketing Stage (Expo Floor)Sales & Performance Marketing TrackShow more | AI Recommended"
10:30am - 11:05am,"The New Underwriting Engine: AI, Data, and Partnerships in Small Commercial Presented by IntellectAI",Speaker,Mandalay Bay Ballroom KUnderwriting TrackShow more,Clive ThompsonInsuretech Center of Excellence - Guy Carpenter | Jascha ProsiegelHead of Insurtech Programs - Munich Re Specialty Insurance-North America | Session Sponsor | IntellectAI
10:40am - 11:00am,"New Tech, New Threats: The Cyber Insurance Shake-Up, The Crossroads of Innovation and Risk in Cyber Insurance",Speaker,Mandalay Bay Ballroom JCyber Insurance SummitShow more,Ayelet KutnerChief Technology Officer - At-Bay
10:45am - 10:55am,Demo: Lumenova AI,Speaker | Mery ZadehSVP AI Governance and Risk Management - Lumenova AI | Lumenova AI,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
10:55am - 11:15am,"Beyond Benefits: Turning Caregiver Support Into a Business Advantage - Why Investing in Caregivers Is a Smart Play for Productivity, Engagement, and Claims Outcomes Presented by Mellie","Speaker | Eduardo NasiSr. Director, U.S. Total Rewards - Teva Pharmaceuticals | Zvika GoldsteinCEO and Co-Founder - Mellie",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Session Sponsor | Mellie"
11:00am - 2:00pm,Clearspeed Gives Back,Expo FloorEvent Information,,
11:00am - 11:10am,Demo: Prediction Lab,Speaker | Ryan SteilFounder - Prediction Lab | Prediction Lab,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
11:00am - 12:00pm,Distribution Town Square Takeover: Beyond the Multiple- Unlocking Value in Insurance Agency/Broker & MGA Deals,Speaker | Gilad ShaiPartner - InsurTech LA,,"Distribution, Sales, Marketing Town Square (Expo Floor)ITC Community Meet-UpsShow more | Matthew PrendergastHead of Corporate Development - Ambac | Added to schedule"
11:00am - 11:25am,Navigating the Data Revolution in Cyber Insurance,Speaker | Steven SchwartzChief Insurance Officer - SAFE Security,Mandalay Bay Ballroom JCyber Insurance Summit,Adam GladsdenSVP - Global Cyber Risk Intelligence Product Leader - Marsh
11:10am - 11:30am,"How Carriers, Agencies and Reinsurers Are Using AI and New Property Intelligence to Reduce Losses Today Presented by Home Factors by PGM",Speaker | R.K. Jobay CooneySenior Managing Director - Aon,Mandalay Bay Ballroom KUnderwriting TrackShow more,Brian SuzukiChief Insurance Officer - Bamboo Insurance | Session Sponsor | Home Factors by PGM
11:10am - 11:45am,"On-Demand, Embedded, and Effortless: The New Rules of Travel Insurance",Speaker | Susan SilfenEVP - Crum & Forster | Fergal MadiganGlobal Financial Services GTM Lead - Stripe,"Mandalay Bay Ballroom IProperty, Motor & Travel TrackShow more",
11:10am - 11:45am,Reimagining Insurance Growth with AI Powered by Adobe,"Speaker | Maxwell RobertsEngagement Manager - Digital Strategy Group - Adobe | Mariano GutierrezDirector - Insurance Industry Strategy, Digital Strategy Group Company - Adobe | Adobe Inc.",,"Distribution, Sales & Marketing Stage (Expo Floor)Sales & Performance Marketing TrackShow more | Session Sponsor"
11:10am - 11:30am,Session Presented by SAS,,Mandalay Bay Ballroom LInnovation in Action Track,Session Sponsor | SAS
11:15am - 11:25am,Demo: omni:us Digital Claims Adjuster,Speaker | Thomas HauschildCEO - omni:us,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | omni:us
11:20am - 11:55am,AI & Employee Benefits: Full Speed Ahead or Pump the Brakes?,Speaker | Christy LaneCEO & Co-Founder - Flora | Justin CurtisFVP - National Practice Leader - Alliant,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & BenefitsShow more"
11:25am - 12:00pm,After the Breach: Building a Resilience-Ready Response for Small Businesses,Speaker | Christopher AhearnDirector of Incident Response - Secureworks,Mandalay Bay Ballroom JCyber Insurance SummitShow more,Adam AbreschNational Cyber Risk Practice Leader - Acrisure
11:30am - 11:40am,Demo: RAVIN AI,Speaker | Eliron EksteinCEO & Co-Founder - Ravin.AI | RAVIN AI,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
11:35am - 12:00pm,From Startup to Exit - One Founder's Journey Through the Insurtech World,Speaker | Bob FradyFormer CEO & Founder - HazardHub,Mandalay Bay Ballroom LInnovation in Action Track,
11:35am - 12:00pm,From Underwriter to Entrepreneur: How Supportive Ecosystems are Helping Underwriters Become Innovators,Speaker | Jim DwaneCEO - Mission Underwriting Managers,Mandalay Bay Ballroom KUnderwriting TrackShow more,Kiley O'ConnellCEO - Lynx Specialty (a MISSION program)
11:50am - 12:10pm,Beyond the Storm: Adapting Insurance for a Changing Climate,Speaker | Jay RajendraCEO & Founder - Arch Capital Group | Sean HarperCEO & Founder - Kin Insurance,"Mandalay Bay Ballroom IProperty, Motor & Travel Track",
12:00pm - 12:35pm,Fate of Cyber Insurtech MGAs in Soft Market Conditions,Speaker,Mandalay Bay Ballroom JCyber Insurance SummitShow more,Jamie ThompsonDirector of Financial & Specialty Lines - QBE | James DominguezSenior Broker - Gallagher Re
12:00pm - 1:30pm,Founders Forum: The Playbook for Building & Scaling Insurtechs,Speaker | Eugenio GonzalezPartner & Head of InsurTech - Plug and Play | David KingCo-CEO & Co-Founder - Artificial,ITC Community Center (Expo Floor)ITC Community Meet-UpsShow more,
12:00pm - 1:30pm,Lunch Sponsored by isolved,Expo FloorEvent Information,,Session Sponsor | isolved
12:00pm - 12:20pm,Stop Waiting for AI Perfection: A Platform-Based Approach to Production-Ready Agents Presented by Lifebridge,Speaker | Manish ChoudharyFounder and CEO - LifeBridge Inc | Lifebridge Inc,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & BenefitsShow more | Biz DziarmagaVP - Build Americas Sales & AI Partnerships - IBM | Session Sponsor"
12:00pm - 12:15pm,Where’s the Moat?,Speaker | Kevin McLoughlinPartner & Co-Founder - MTech Capital,Mandalay Bay Ballroom LInnovation in Action Track,
12:15pm - 12:35pm,Session Presented by TomTom,,"Mandalay Bay Ballroom IProperty, Motor & Travel Track",Session Sponsor | TomTom
1:00pm - 1:45pm,Aligning Regulators and Insurers on Predict and Prevent Strategies in the New Climate Era,"Speaker | Ivan O'NeillCEO and Co-founder - Wuuii | Danielle CaganVP, External Affairs & Corporate Communications - CSAA Insurance Group",Oceanside Ballroom BDeep DivesShow more,
2:00pm - 2:35pm,"B2B and B2C Growth Strategies: Same Goals, Different Games",Speaker | Andrea CollinsCMO - Hippo | Lauren BerkemeyerCMO - YuLife,,"Distribution, Sales & Marketing Stage (Expo Floor)Sales & Performance Marketing TrackShow more"
2:00pm - 2:20pm,"Beyond the Build: Sustaining Tech Velocity Through Culture, Collaboration, and Control",Speaker | Alex SeiditaCIO - Aspida,Mandalay Bay Ballroom LInnovation in Action Track,
2:00pm - 2:15pm,"Car Insurance Still Assumes the Thief Breaks In, Not Logs In",Speaker,"Mandalay Bay Ballroom IProperty, Motor & Travel Track",Amir DinurCEO - Motoro Security
2:00pm - 2:30pm,LATAM Town Square Takeover: Brazil Meetup,,,ITC LATAM Town Square (Expo Floor)ITC Community Meet-Ups
2:00pm - 2:10pm,Session Presented by DQLabs,"DQLabs, Inc.",,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
2:00pm - 2:10pm,Session Presented by Solvrays,,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Session Sponsor | Solvrays"
2:00pm - 2:20pm,Underwriting 2.0: Welcoming the Era of Intake-as-a-Service (IaaS) Presented by Pibit.ai,,Mandalay Bay Ballroom KUnderwriting Track,Session Sponsor | Pibit.ai
2:15pm - 2:25pm,Demo: weav.ai Underwriting Copilot,"Speaker | Neal SilbertChief Product Officer - weav.ai | Weav AI, Inc.",,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
2:15pm - 2:30pm,Innovating Minds: What Insurance Can Learn from Psychedelics,Speaker | Sherry RaisCEO & Co-Founder - Enthea,,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits"
2:20pm - 2:55pm,"Commercial Auto, Connected: Executive Fireside Chat on the Latest Telematics Trends",Speaker | Peter MielertHead of Y-Risk Innovation Labs - The Hartford | Michael TuomiDirector HSE and Training - Liberty Energy,"Mandalay Bay Ballroom IProperty, Motor & Travel TrackShow more",
2:20pm - 2:55pm,The Tech-Enabled Underwriter: Navigating the New Cyber Risk Landscape,Speaker | Rajeev GuptaCo-Founder and CPO - Cowbell | Jane TranCo-Founder and COO - Sixfold,Mandalay Bay Ballroom JCyber Insurance SummitShow more,
2:25pm - 3:00pm,Reclaiming Your Underwriter ROI: The AI Journey from FOMO to Production Presented by Roots,"Speaker | Rima SafariUS Data, Analytics and AI Practice Leader - PwC | Chaz PereraCo-Founder & CEO - Roots",Mandalay Bay Ballroom KUnderwriting TrackShow more,Session Sponsor | Roots
