id,name,bio,company,role,imageUrl,linkedinUrl,twitterUrl,websiteUrl,profileSummary,companyProfile,expertise,achievements,lastProfileSync,createdAt
cmffpi09e001d3z7gi4rc8u9m,Katie Gold,,The Zebra,"VP, Insurance Sales",,,,,,,Insurtech,,2025-09-11T20:45:35.076Z,2025-09-11T17:52:48.338Z
cmffpi0bd002m3z7gfnaw9r3p,Keren Herzberg,,Symetra,"SVP, Technology & Operations Solutions",,,,,,,Insurtech,,2025-09-11T20:45:35.087Z,2025-09-11T17:52:48.410Z
cmffpi09c001c3z7gofsyfc86,Kevin Rabinowitz,,Relation Insurance Services,COO,,,,,,,Insurtech,,2025-09-11T20:45:35.101Z,2025-09-11T17:52:48.337Z
cmffpi0bu002w3z7gffzya0fl,Kiran Mallavarapu,,The Hanover Insurance Group,SVP Claims Strategy,,,,,,,AI|Insurtech|Claims,,2025-09-11T20:45:35.139Z,2025-09-11T17:52:48.427Z
cmffpi0aw00233z7g7629e4p1,Kobi Bendelak,,InsurTech Israel,CEO,,,,,,,Insurtech,,2025-09-11T20:45:37.429Z,2025-09-11T17:52:48.392Z
cmffpi0cb003e3z7g6hf6zpj2,Kristina Welke,,New York Life,"VP & Head of Strategy, Solutions and Marketing for New York Life Group Benefit Solutions",,,,,,,Insurtech,,2025-09-11T20:45:37.501Z,2025-09-11T17:52:48.443Z
cmffpi0ew00523z7gzplaw22d,Kyle Nakatsuji,,founder - Clearcover,CEO and Co,,,,,,,Insurtech,,2025-09-11T20:45:37.456Z,2025-09-11T17:52:48.537Z
cmffpi0ds00443z7gjf9e6lnh,Larry Webster,,Hagerty,SVP of Media and Editorial,,,,,,,Insurtech,,2025-09-11T20:45:37.481Z,2025-09-11T17:52:48.496Z
cmffpi0fw00693z7gxmvio3qb,Lauren Berkemeyer,,YuLife,CMO,,,,,,,Insurtech,,2025-09-11T20:45:37.436Z,2025-09-11T17:52:48.573Z
cmffpi07d00053z7gwjaj6hbq,Leonardo Redolfi,,100% Seguro,Director,,,,,,,Insurtech,,2025-09-11T20:45:39.925Z,2025-09-11T17:52:48.265Z
cmffpi0gv00723z7g1mwxcxq6,Lisa Flanary,,Security Benefit,CMO,,,,,,,Insurtech,,2025-09-11T20:45:39.909Z,2025-09-11T17:52:48.608Z
cmffpi0c200313z7gxfm62poi,Luisa Barile,,ManyPets,Group CEO,,,,,,,Insurtech,,2025-09-11T20:45:39.787Z,2025-09-11T17:52:48.434Z
cmffpi07r000i3z7gki4oq3lb,Madison Baker,,Marsh McLennan Agency,Vice President of Business Insurance,,,,,,,Insurtech,,2025-09-11T20:45:39.793Z,2025-09-11T17:52:48.279Z
cmffpi0fs00633z7gia6wsorh,Manish Choudhary,,LifeBridge Inc,Founder and CEO,,,,,,,Insurtech,,2025-09-11T20:45:39.832Z,2025-09-11T17:52:48.569Z
cmffpi07900043z7gtsiz3ghj,Manjit Rana,,Clearspeed,EVP,,,,,,,Insurtech,,2025-09-11T20:45:42.214Z,2025-09-11T17:52:48.261Z
cmffpi08800123z7gz9x5du71,Manny Barbosa,,Liberty Mutual Insurance,Agent for the Future Advisor,,,,,,,Insurtech,,2025-09-11T20:45:42.269Z,2025-09-11T17:52:48.296Z
cmffpi0e0004b3z7g5bm5caks,Marcin Nowak,,Decerto,Founder,,,,,,,Insurtech,,2025-09-11T20:45:42.444Z,2025-09-11T17:52:48.504Z
cmffpi0dh00403z7gocwaopoy,Maren Dennis,,Markel,Claims Transformation Product Manager,,,,,,,AI|Insurtech|Claims,,2025-09-11T20:45:42.238Z,2025-09-11T17:52:48.486Z
cmffpi0e1004d3z7gz1usf50x,María Navarro Ibáñez,,MAPFRE,Corporate Director of Innovation,,,,,,,Insurtech|Innovation,,2025-09-11T20:45:42.214Z,2025-09-11T17:52:48.505Z
cmffpi0fi005p3z7g66gpo0y2,Mariano Gutierrez,,"Insurance Industry Strategy, Digital Strategy Group Company - Adobe",Director,,,,,,,Insurtech,,2025-09-11T20:45:44.734Z,2025-09-11T17:52:48.558Z
cmffpi0bp002t3z7gaecsyx0v,Mark Garrett,,J.D. Power,Director of Insurance Industry Analytics,,,,,,,Insurtech,,2025-09-11T20:45:44.757Z,2025-09-11T17:52:48.421Z
cmffpi0cw003r3z7g7dev5efv,Matheus Riolfi,,Founder - Tint,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:45:44.735Z,2025-09-11T17:52:48.464Z
cmffpi07r000k3z7gya16i086,Mauricio Zanatta,,Klimber (former  of Prudential),CEO,,,,,,,Insurtech,,2025-09-11T20:45:44.729Z,2025-09-11T17:52:48.280Z
cmffpi0b9002e3z7g7i6js4le,Max Drucker,,Carpe Data,CEO,,,,,,,Insurtech,,2025-09-11T20:45:44.740Z,2025-09-11T17:52:48.405Z
cmffpi0fh005o3z7g72o0yc34,Maxwell Roberts,,Digital Strategy Group - Adobe,Engagement Manager,,,,,,,Insurtech,,2025-09-11T20:45:47.099Z,2025-09-11T17:52:48.558Z
cmffpi0bc002j3z7gblho995h,Megan Pilcher,,IntellectAI,SVP and Insurance Go To Market Leader,,,,,,,AI|Insurtech,,2025-09-11T20:45:47.063Z,2025-09-11T17:52:48.408Z
cmffpi0f4005d3z7giir31bio,Mery Zadeh,,Lumenova AI,SVP AI Governance and Risk Management,,,,,,,AI|Insurtech|Risk Management,,2025-09-11T20:45:47.009Z,2025-09-11T17:52:48.545Z
cmffpi08800133z7gyztbw1d7,Michael Cruz,,Foresight Insurance,Founder and Principal Owner,,,,,,,Insurtech,,2025-09-11T20:45:47.046Z,2025-09-11T17:52:48.297Z
cmffpi0ee004n3z7ggwco1yiz,Michelle Raue,,Preferred Mutual,"EVP, Chief Claim & Transformation Officer",,,,,,,AI|Insurtech,,2025-09-11T20:45:47.064Z,2025-09-11T17:52:48.519Z
cmffpi0ao001y3z7gold32cqr,Mike Allee,,Equisoft,"President, UCT",,,,,,,Insurtech,,2025-09-11T20:45:49.408Z,2025-09-11T17:52:48.385Z
cmffpi08k00183z7g8lqt422k,Mohit Chawla,,eventual treasury,CEO,,,,,,,Insurtech,,2025-09-11T20:45:49.488Z,2025-09-11T17:52:48.308Z
cmffpi0al001x3z7gc1td7364,Murtaza Ali,,Founder - Symphony,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:45:49.393Z,2025-09-11T17:52:48.381Z
cmffpi081000y3z7geynvy6hh,Mykola Hayvanovych,,Cognizant,"Global Head, Generative AI",,,,,,,AI|Insurtech,,2025-09-11T20:45:49.407Z,2025-09-11T17:52:48.289Z
cmffpi0ga006m3z7g4cva23qi,Naeill Leigh,,Lincoln Financial,"Senior Vice President, Strategy and Transformation – Workplace Solutions",,,,,,,Insurtech,,2025-09-11T20:45:49.386Z,2025-09-11T17:52:48.586Z
cmffpi07w000q3z7gjer42er4,Natalia Jacome,,SaludSA,Country Head,,,,,"Unfortunately, I could not find specific information about Natalia Jacome in her role as Country Head at SaludSA in the search results. This specific position and person combination did not appear in the available data. Instead, based on the search results,",,Insurtech,,2025-09-12T00:27:03.534Z,2025-09-11T17:52:48.284Z
cmffpi0fy006c3z7gnh2ypl5j,Neal Silbert,,weav.ai,Chief Product Officer,,,,,,,AI|Insurtech,,2025-09-11T20:45:51.767Z,2025-09-11T17:52:48.574Z
cmffpi0bb002i3z7gi8cjvhvc,Nga Phan,,bolt,Head of Product,,,,,,,Insurtech,,2025-09-11T20:45:51.877Z,2025-09-11T17:52:48.407Z
cmffpi0bf002n3z7gldwbeq70,Nicole Carrillo,,Workday,"Managing Director, Financial Services",,,,,,,Insurtech,,2025-09-11T20:45:52.074Z,2025-09-11T17:52:48.411Z
cmffpi0cu003q3z7gx178x6pd,Nigel Walsh,,to-Market - ServiceNow,Head of Insurance Go,,,,,,,Insurtech,,2025-09-11T20:45:51.791Z,2025-09-11T17:52:48.462Z
cmffpi0d6003v3z7ge4bau4ka,Omar Issa,,ResiQuant,CEO,,,,,,,Insurtech,,2025-09-11T20:45:54.508Z,2025-09-11T17:52:48.475Z
cmffpi07w000r3z7gyt05y66t,Ori Ben Yishai,,Viewpoint Ventures,Partner,,,,,,,AI|Insurtech,,2025-09-11T20:45:54.415Z,2025-09-11T17:52:48.285Z
cmffpi0gf006q3z7g2y0zicdz,Pat Blandford,,Property Guardian,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:45:54.459Z,2025-09-11T17:52:48.592Z
cmffpi0aq001z3z7gdlb0uf2x,Patrick Baglien,,Vue Robotics,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:45:54.362Z,2025-09-11T17:52:48.386Z
cmffpi08j00173z7gklg66g8j,Pedro Pereira,,Akur8,Regional Sales Director,,,,,,,Insurtech,,2025-09-11T20:45:54.376Z,2025-09-11T17:52:48.307Z
cmffpi0br002u3z7gmf8r59k7,Peter Settel,,Bold Penguin,CEO & President,,,,,,,Insurtech,,2025-09-11T20:45:56.813Z,2025-09-11T17:52:48.423Z
cmffpi0ba002h3z7grrioed20,Philip Charles Pierre,,Semsee,CEO,,,,,,,Insurtech,,2025-09-11T20:45:56.800Z,2025-09-11T17:52:48.407Z
cmffpi0c200323z7ga246sgrc,Pierre Du Toit,,ManyPets,Chief Data Officer,,,,,,,Insurtech,,2025-09-11T20:45:56.860Z,2025-09-11T17:52:48.435Z
cmffpi0e6004j3z7g3iauqy3t,Prashant Hinge,,MSIG USA,Chief Information & Transformation Officer,,,,,,,Insurtech,,2025-09-11T20:45:56.814Z,2025-09-11T17:52:48.511Z
cmffpi0ea004l3z7gtonlofb0,Rajat Sharma,,InsureMO,Chief Revenue Officer,,,,,,,Insurtech,,2025-09-11T20:45:56.823Z,2025-09-11T17:52:48.515Z
cmffpi0g2006h3z7gw2v4hu37,Rajeev Gupta,,Cowbell,Co,,,,,,,Insurtech,,2025-09-11T20:45:59.168Z,2025-09-11T17:52:48.578Z
cmffpi0b400283z7ggnjbmr29,Reghan Brandt,,K2 Insurance Services,Chief Digital Operations Officer,,,,,,,Insurtech,,2025-09-11T20:45:59.171Z,2025-09-11T17:52:48.400Z
cmffpi0gr006v3z7gm5256qjc,Reid Stanway,,Ki Insurance,Head of Digital Partnerships,,,,,"Unfortunately, I was not able to find specific detailed information about Reid Stanway's current role as Head of Digital Partnerships at Ki Insurance in the search results. While the company Ki Insurance is well documented, Reid Stanway's professional profile and background are not readily available in the search results.",,Insurtech,,2025-09-12T00:46:50.890Z,2025-09-11T17:52:48.603Z
cmffpi0gs006w3z7gm561l9j2,Renu Joseph,,Luminant Analytics,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:45:59.158Z,2025-09-11T17:52:48.604Z
cmffpi0ew00513z7gqn7uyfpb,Richard McCathron,,Hippo,CEO & President,,,,,,,Insurtech,,2025-09-11T20:45:59.212Z,2025-09-11T17:52:48.536Z
cmffpi0g4006j3z7gu5xr9226,Rima Safari,,PwC,"US Data, Analytics and AI Practice Leader",,,,,,,,,2025-09-11T20:46:17.874Z,2025-09-11T17:52:48.580Z
cmffpi0ff005l3z7g37g076e8,R.K. Jobay Cooney,,Aon,Senior Managing Director,,,,,,,,,2025-09-11T20:46:18.942Z,2025-09-11T17:52:48.556Z
cmffpi07x000s3z7g5duzz4pu,Robert Poliseno,,Chubb,"Division President, N.A. Small & Lower Midmarket",,,,,,,,,2025-09-11T20:46:19.540Z,2025-09-11T17:52:48.285Z
cmffpi0e1004e3z7gv3p8n49k,Robin Spaulding,,Roots,Head of Insurance,,,,,,,Insurtech,,2025-09-11T20:46:01.607Z,2025-09-11T17:52:48.506Z
cmffpi0el004t3z7g98rgurz4,Rohan Vaidyanathan,,Hyland,"VP, Product",,,,,,"Company Overview:
Hyland Software is a technology company specializing in content services and enterprise content management (ECM) solutions. Founded in 1991, the company develops platforms for efficient document, process, and information management.

2. Core Solutions and Services:
- Enterprise Content Management:
Hyland provides enterprise content services and management globally, offering future-adaptive, cloud-enabled technology that enables automation and helps optimize business systems and process workflows.

- Insurance-Specific Solutions:
Hyland's insurance software solutions:
- Streamline and automate daily processes
- Centralize claims information
- Streamline underwriting with intelligent case management
- Provide automated communications and mobile-friendly online forms

3. Technology Integration:
Hyland integrates with core insurance systems to provide:
- Document management
- Case management
- Process automation
- Prebuilt integrations for Guidewire and Duck Creek for claims, policy and billing applications

4. Digital Transformation Capabilities:
The company is heavily involved in digital transformation, with industry analysts noting that over 50% of insurance budgets are dedicated to digital transformation projects. Hyland offers modern, cloud-native and open-source technologies focused on automation and better customer results.

5. Market Position and Success:
Hyland serves over 14,000 organizations worldwide, focusing on operational efficiency and customer experience improvement. Their success is demonstrated by cases such as a global insurer saving $21 million over five years with Hyland's assistance.

6. Recent Acquisitions and Growth:
Key recent acquisitions include:
- Perceptive Business Unit from Lexmark International (2017)
- Alfresco Software (2020)
- Nuxeo (2021)

7. Cloud Capabilities:
Hyland offers cloud-based solutions through the Hyland Cloud, providing scalable and secure content services. Their platform enables faster innovation and reduced costs with content in the cloud.

8. Customer Experience:
Hyland's platform enables:
- Self-service maintenance for policyholders
- Mobile-friendly online forms
- Consistent omnichannel experiences across phone, online, mobile, and mail channels

Key URLs:
- Main insurance solutions: www.hyland.com/en/solutions/industries/insurance
- Property and Casualty solutions: www.hyland.com/en/solutions/industries/insurance/property-casualty
- Life Insurance solutions: www.hyland.com/en/solutions/industries/insurance/life-annuity

The information provided comes from official company sources and industry publications, focusing on professional and business aspects of Hyland's insurance technology offerings.",AI|Insurtech,,2025-09-11T20:46:20.311Z,2025-09-11T17:52:48.526Z
cmffpi0by002y3z7gd7jlc5yu,Ron Gura,,Founder - Empathy,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:46:22.632Z,2025-09-11T17:52:48.431Z
cmffpi0bc002k3z7giuq1th1p,Rose Hancock,,Zywave,VP Product Management,,,,,,,Insurtech,,2025-09-11T20:46:22.686Z,2025-09-11T17:52:48.409Z
cmffpi0d5003u3z7ggm5bctmf,Rudy Hervé,,Palomar,Chief Operating Officer,,,,,,,Insurtech,,2025-09-11T20:46:22.613Z,2025-09-11T17:52:48.473Z
cmffpi0dn00433z7go52yr5p0,Russell Page,,Hagerty,Chief Data & Information Officer,,,,,,,Insurtech,,2025-09-11T20:46:22.623Z,2025-09-11T17:52:48.492Z
cmffpi07k00073z7gw5zt24mh,Ryan Hanley,,Finding Peak,"Serial Founder, Speaker, Entrepreneur, Influencer, and Founder",,,,,,,Insurtech,,2025-09-11T20:46:22.761Z,2025-09-11T17:52:48.272Z
cmffpi0ch003h3z7gux9hu05g,Samuel Falmagne,,Akur8,CEO,,,,,,,Insurtech,,2025-09-11T20:46:25.076Z,2025-09-11T17:52:48.449Z
cmffpi07v000p3z7gp3me3suu,Sandeep Haridas,,IntellectAI,EVP and Insurance Business Head,,,,,,,AI|Insurtech,,2025-09-11T20:46:25.166Z,2025-09-11T17:52:48.284Z
cmffpi07500033z7gwropzmkk,Scott Moore,,Clearspeed,CRO,,,,,,,Insurtech,,2025-09-11T20:46:25.080Z,2025-09-11T17:52:48.257Z
cmffpi0fr00603z7gf549smnc,Sean Harper,,Kin Insurance,CEO & Founder,,,,,,,Insurtech,,2025-09-11T20:46:25.132Z,2025-09-11T17:52:48.567Z
cmffpi07u000n3z7g0tko7brr,Sergio Zuniga,,Blitz,CEO,,https://www.linkedin.com/in/sergiozun,,,,,Insurtech,,2025-09-11T20:46:25.138Z,2025-09-11T17:52:48.283Z
cmffpi0fz006e3z7gnsixjtii,Sherry Rais,,Founder - Enthea,CEO & Co,,,,,,,AI|Insurtech,,2025-09-11T20:46:27.481Z,2025-09-11T17:52:48.575Z
cmffpi09w001l3z7g6nx5vflo,Sofia Belmar,,Prudential Mexico,CEO,,,,,,,Insurtech,,2025-09-11T20:46:27.491Z,2025-09-11T17:52:48.356Z
cmffpi0a6001p3z7gw2tebgd9,Stella Dong,,Reinsurance Analytics,Founder & CTO,,,,,,,Insurtech,,2025-09-11T20:46:27.466Z,2025-09-11T17:52:48.366Z
cmffpi08600113z7g4pfoejal,Stephanie Wan,,Cognizant,Head of Experience Strategy,,,,,,,Insurtech,,2025-09-11T20:46:27.566Z,2025-09-11T17:52:48.295Z
cmffpi0g9006l3z7gm8wh9bs7,Stephan Teerling,,Allianz SE,Head of CEO Office,,,,,,,Insurtech,,2025-09-11T20:46:27.456Z,2025-09-11T17:52:48.585Z
cmffpi07q000h3z7g0uuumm0a,Stephen Sills,,Bowhead Specialty,CEO,,,,,,,Insurtech,,2025-09-11T20:46:29.881Z,2025-09-11T17:52:48.279Z
cmffpi0fd005k3z7gwkn4rhj3,Steven Schwartz,,SAFE Security,Chief Insurance Officer,,https://www.linkedin.com/in/stevenschwartzcyber,,,,,Insurtech,,2025-09-11T20:46:29.951Z,2025-09-11T17:52:48.554Z
cmffpi09e001e3z7gf53j1fz5,Sudipta Chaki,,Cognizant,Global Head of Insurance Industry Solutions,,,,,,,Insurtech,,2025-09-11T20:46:29.894Z,2025-09-11T17:52:48.339Z
cmffpi0fg005m3z7ghin4n1ne,Susan Silfen,,Crum & Forster,EVP,,,,,,,Insurtech,,2025-09-11T20:46:29.906Z,2025-09-11T17:52:48.557Z
cmffpi0dy00483z7gcjrd29z2,Sylvester Mathis,,Insurity,Chief Insurance & Chief Revenue Officer,,,,,,,Insurtech,,2025-09-11T20:46:29.920Z,2025-09-11T17:52:48.502Z
cmffpi0av00223z7gtiaob10t,Tanguy Catlin,,McKinsey & Company,Senior Partner,,,,,,,Insurtech,,2025-09-11T20:46:32.246Z,2025-09-11T17:52:48.391Z
cmffpi0ck003i3z7gs1n706bm,Thomas Holmes,,Akur8,Chief Actuary US,,,,,,,Insurtech,,2025-09-11T20:46:32.288Z,2025-09-11T17:52:48.452Z
cmffpi08f00153z7g6lpwhc7p,Tim Queen,,Cognizant,"Global Head, Insurance Consulting",,,,,,,Insurtech,,2025-09-11T20:46:32.293Z,2025-09-11T17:52:48.303Z
cmffpi0c400353z7g4enu7k0s,Tony Skipper,,Allianz Technology,CEO,,,,,,,Insurtech,,2025-09-11T20:46:32.254Z,2025-09-11T17:52:48.436Z
cmffpi0eu004z3z7gms9z3m7u,Tracie Larson,,Microsoft Corporation,"VP, US Insurance",,,,,,,Insurtech,,2025-09-11T20:46:32.378Z,2025-09-11T17:52:48.535Z
cmffpi0cp003m3z7g77dkov4i,Travis Roe,,EOX Vantage,Sr. Director of Product,,,,,,,Insurtech,,2025-09-11T20:46:34.716Z,2025-09-11T17:52:48.457Z
cmffpi0b7002c3z7g0xwmn9zg,Vibhor Gupta,,Enterprise Data & AI - Shelter Insurance,VP,,,,,,,AI|Insurtech,,2025-09-11T20:46:34.667Z,2025-09-11T17:52:48.404Z
cmffpi0ei004q3z7gk4oq9us6,Virginia Mathurin,,Property Underwriting - Markel,MD,,,,,,,Insurtech|Underwriting,,2025-09-11T20:46:34.686Z,2025-09-11T17:52:48.522Z
cmffpi0bi002p3z7g1chwyrf7,Will Ross,,Founder & CEO - Federato,Co,,,,,,,Insurtech,,2025-09-11T20:46:34.735Z,2025-09-11T17:52:48.415Z
cmffpi0er004x3z7gbar0r01q,Zac Townsend,,Founder - Meanwhile,CEO & Co,,,,,,,Insurtech,,2025-09-11T20:46:34.707Z,2025-09-11T17:52:48.531Z
cmffpi0f9005g3z7gnvtfe1aw,Zvika Goldstein,,Founder - Mellie,CEO and Co,,,,,,,Insurtech,,2025-09-11T20:46:36.984Z,2025-09-11T17:52:48.549Z
